Date,Alecxtronics,Isaiah PINNs,Justin Mart,Mariz Shop,Maykel Solar,Nar Wind
2023-05-01,101.04889100241274,121.43798441712707,80.81086932671388,89.31539595831833,111.76914563293622,96.63929159583175
2023-05-02,100.82024543352324,119.65810281305991,78.94612008130058,90.41298083204144,108.67531945868771,94.91967986209679
2023-05-03,102.18582339230875,115.47347974619298,80.73835173527164,88.75444476999098,111.5800768470812,95.15250761778039
2023-05-04,105.3990424250925,111.8311385707349,82.45189818969209,89.17287291219301,111.413488736208,96.28503990464283
2023-05-05,104.95907197137993,111.99472155209459,81.70634250809277,87.40287273387911,113.34207058891253,99.89388933125964
2023-05-08,104.52097241984796,112.63428916273615,82.21754182833472,88.0429356554293,110.38938607278557,101.70954767492404
2023-05-09,107.92882699663843,110.67078116042018,82.85392655785833,88.02228124822354,106.2261189189479,103.7773352407835
2023-05-10,109.65298474771565,112.14937722459271,83.20348573591656,85.94117075541273,108.46388504858429,104.03665222625787
2023-05-11,108.68254563036497,108.53810469243382,82.54426257320866,87.48209042096558,109.53317802544363,107.81370035990679
2023-05-12,109.92325146561879,108.44896684536953,81.74137625579104,86.5493886333967,107.1335524784923,108.96740609231405
2023-05-15,108.96361884728418,105.90679201605262,81.73456657835575,85.52950732385347,104.87137855579836,106.68937905299356
2023-05-16,108.00736933721507,104.58735597285026,83.21003380813548,85.8129535831971,107.90708176163947,110.54314114146581
2023-05-17,108.58558944640038,104.73890537830627,83.91647354103517,87.33047883846123,104.78757497157406,112.53378010216638
2023-05-18,104.56125792944356,103.00343844609709,83.476297271608,86.03568931632006,109.22413214753469,111.33874864167743
2023-05-19,101.06609849046282,102.26538618706826,84.47352800285282,86.14116464997036,106.8350985763712,110.05607618916629
2023-05-22,99.98588166824844,104.39660084305822,80.96444177850346,86.72304477354575,108.59727434060727,110.91946617834749
2023-05-23,98.02988393479846,103.2506243249367,82.39638407805515,87.6556641446536,107.75184449693472,112.25623019635825
2023-05-24,98.69727300691652,105.04334986307231,80.298090952048,87.9143332826536,109.43278584805097,112.85641359696099
2023-05-25,96.96953290842755,102.74795841120635,79.88668815743753,87.45789148184843,107.99745724967477,113.7836742543904
2023-05-26,94.31599197395005,103.89440712571516,78.57976190706731,86.404830603786,107.60185207911788,118.77108508769204
2023-05-29,97.17016664071143,106.9869045590206,77.09157200258994,86.54251034218065,107.75507628799309,122.04460157366893
2023-05-30,96.78075966935431,101.87774843198135,78.46921355547687,85.18741035062347,105.13089083474809,122.67670180820527
2023-05-31,96.96002448752398,100.31704739276083,77.94401759311009,81.55954767931382,107.13896839502686,125.64810959782812
2023-06-01,94.28327469180479,101.53231143713401,78.37369938633788,82.12001681310956,105.81543769009345,122.49523377942342
2023-06-02,93.30896178395369,101.17140720012011,78.34205779499675,83.26604304179833,105.25452081917369,123.76941741616848
2023-06-05,93.56296278684916,101.97616370941373,78.92832860142887,80.39056615920519,102.711356525441,129.54819269795166
2023-06-06,91.4794847632408,100.80212060026314,79.04304173233379,79.205906447857,96.3766882226712,128.89547555623008
